Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,2767,2767,Passed,,2.568%,85700608,49152
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,2.57%,85553152,-147456
3,ModuleSystem,System temperature (in 0.1 °C),5,380,380,Passed,,2.57%,85827584,274432
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,2.57%,85843968,16384
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,2.571%,85995520,151552
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,2.573%,86036480,40960
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,2.574%,86003712,-32768
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,2.575%,85835776,-167936
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,2.575%,85606400,-229376
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,2.577%,85733376,126976
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,2.578%,85463040,-270336
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,2.579%,85692416,229376
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,2.579%,85536768,-155648
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,2.58%,85540864,4096
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,2.581%,85692416,151552
16,ModuleMobile,Mobile data received today (SIM1),185,229806155,229806155,Passed,,2.581%,85753856,61440
17,ModuleMobile,Mobile data sent today (SIM1),187,1465668,23399748,Failed,,2.582%,85667840,-86016
18,ModuleMobile,Mobile data received this week (SIM1),189,229806155,229806155,Passed,,2.582%,85811200,143360
19,ModuleMobile,Mobile data sent this week (SIM1),191,1465668,23399748,Failed,,2.583%,85872640,61440
20,ModuleMobile,Mobile data received this month (SIM1),193,1707580580,1707580580,Passed,,2.586%,85991424,118784
21,ModuleMobile,Mobile data sent this month (SIM1),195,8699461,139136581,Failed,,2.588%,86077440,86016
22,ModuleMobile,Mobile data received last 24h (SIM1),197,114938213,229855589,Failed,,2.588%,85942272,-135168
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,11718534,23416710,Failed,,2.588%,86056960,114688
24,ModuleMobile,Active SIM card,205,1,1,Passed,,2.588%,86061056,4096
25,ModuleMobile,Mobile data received last week (SIM1),292,434454509,1737768941,Failed,,2.589%,86114304,53248
26,ModuleMobile,Mobile data sent last week (SIM1),294,72830624,145641120,Failed,,2.589%,86237184,122880
27,ModuleMobile,Mobile data received last month (SIM1),296,1751287770,1751287770,Passed,,2.59%,86224896,-12288
28,ModuleMobile,Mobile data sent last month (SIM1),298,155034664,155034664,Passed,,2.59%,86335488,110592
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,2.591%,86405120,69632
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,2.591%,86392832,-12288
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,2.591%,86523904,131072
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,2.592%,86511616,-12288
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,2.592%,86466560,-45056
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,2.593%,86511616,45056
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,2.593%,86872064,360448
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,2.595%,86855680,-16384
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,2.596%,86761472,-94208
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,2.596%,86740992,-20480
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,2.596%,86581248,-159744
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,2.597%,86560768,-20480
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,2.599%,86659072,98304
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,2.599%,86634496,-24576
43,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,2.6%,86609920,-24576
