Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,30152,30152,Passed,,0.671%,86220800,-4096
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.671%,86335488,114688
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.671%,86343680,8192
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.671%,86368256,24576
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.671%,86233088,-135168
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.671%,86384640,151552
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.671%,86319104,-65536
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.671%,86396928,77824
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.672%,86437888,40960
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.672%,86552576,114688
