Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,33408,33408,Passed,,0.7%,85979136,8192
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.7%,86073344,94208
3,ModuleSystem,System temperature (in 0.1 °C),5,430,430,Passed,,0.7%,86061056,-12288
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.7%,86114304,53248
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.7%,86147072,32768
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.7%,86077440,-69632
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.7%,86261760,184320
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.7%,86167552,-94208
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.7%,86142976,-24576
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.7%,86212608,69632
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.7%,86306816,94208
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.7%,86396928,90112
