Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,23865,23865,Passed,,0.659%,84017152,-45056
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.659%,84086784,69632
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.659%,84070400,-16384
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.659%,84119552,49152
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.659%,84156416,36864
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.659%,84045824,-110592
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.66%,84135936,90112
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.66%,84017152,-118784
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.66%,84058112,40960
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.66%,84148224,90112
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.66%,84291584,143360
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.66%,84250624,-40960
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,0.66%,84144128,-106496
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,0.66%,84320256,176128
