Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,3573,3573,Passed,,2.286%,83849216,102400
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,2.287%,83718144,-131072
3,ModuleSystem,System temperature (in 0.1 °C),5,370,370,Passed,,2.287%,83845120,126976
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,2.287%,83709952,-135168
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,2.289%,83734528,24576
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,2.291%,83877888,143360
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,2.292%,83750912,-126976
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,2.292%,83771392,20480
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,2.293%,83771392,0
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,2.294%,84004864,233472
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,2.295%,83902464,-102400
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,2.296%,83984384,81920
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,2.298%,84135936,151552
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,2.299%,84168704,32768
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,2.299%,84246528,77824
16,ModuleMobile,Mobile data received today (SIM1),185,230525499,230525499,Passed,,2.3%,84336640,90112
17,ModuleMobile,Mobile data sent today (SIM1),187,11883121,23745137,Failed,,2.3%,84291584,-45056
18,ModuleMobile,Mobile data received this week (SIM1),189,230525499,230525499,Passed,,2.3%,84312064,20480
19,ModuleMobile,Mobile data sent this week (SIM1),191,11883121,23745137,Failed,,2.301%,84443136,131072
20,ModuleMobile,Mobile data received this month (SIM1),193,1708250490,1708250490,Passed,,2.301%,84385792,-57344
21,ModuleMobile,Mobile data sent this month (SIM1),195,17436976,139465008,Failed,,2.301%,84439040,53248
22,ModuleMobile,Mobile data received last 24h (SIM1),197,230525499,230525499,Passed,,2.301%,84549632,110592
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,11883121,23745137,Failed,,2.301%,84500480,-49152
24,ModuleMobile,Active SIM card,205,1,1,Passed,,2.302%,84701184,200704
25,ModuleMobile,Mobile data received last week (SIM1),292,869234883,1738438851,Failed,,2.302%,84533248,-167936
26,ModuleMobile,Mobile data sent last week (SIM1),294,72995211,145969547,Failed,,2.302%,84676608,143360
27,ModuleMobile,Mobile data received last month (SIM1),296,1751957680,1751957680,Passed,,2.303%,84606976,-69632
28,ModuleMobile,Mobile data sent last month (SIM1),298,155363091,155363091,Passed,,2.303%,84459520,-147456
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,2.303%,84533248,73728
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,2.304%,84488192,-45056
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,2.304%,84357120,-131072
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,2.306%,84328448,-28672
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,2.306%,84344832,16384
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,2.306%,84422656,77824
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,2.308%,84602880,180224
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,2.309%,84705280,102400
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,2.309%,84549632,-155648
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,2.309%,84357120,-192512
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,2.31%,84320256,-36864
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,2.311%,84398080,77824
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,2.312%,84340736,-57344
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,2.312%,84402176,61440
