Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,23534,23534,Passed,,0.655%,83816448,-77824
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.655%,83931136,114688
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.656%,83869696,-61440
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.656%,83959808,90112
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.656%,84008960,49152
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.656%,84086784,77824
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.656%,84025344,-61440
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.656%,83943424,-81920
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.656%,83927040,-16384
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.656%,84287488,360448
