Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,29677,29677,Passed,,0.659%,84578304,-8192
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.659%,84557824,-20480
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.659%,84652032,94208
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.659%,84787200,135168
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.659%,84836352,49152
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.659%,84979712,143360
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.659%,84938752,-40960
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.659%,84996096,57344
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.659%,84877312,-118784
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.66%,85323776,446464
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.66%,85331968,8192
