Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,1284,1284,Passed,,2.3140191745320893%,77262848,-180224
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,2.316128552473473%,77344768,81920
3,ModuleSystem,System temperature (in 0.1 °C),5,330,340,Passed,,2.314950592228493%,77164544,-180224
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,2.3160067797007744%,77053952,-110592
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,2.317176621437256%,77049856,-4096
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,2.3179228596835855%,77021184,-28672
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,2.319250679574847%,77058048,36864
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,2.3209508903361487%,77209600,151552
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,2.32181024613064%,77176832,-32768
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,2.326916542665991%,77430784,253952
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,2.328505056026242%,77320192,-110592
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,2.330577931809663%,77434880,114688
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,2.3317376156310132%,77385728,-49152
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,2.333105171092431%,77402112,16384
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,2.3346576576225297%,77262848,-139264
16,ModuleMobile,Mobile data received today (SIM1),185,4840549,4840549,Passed,,2.3353819824139754%,77279232,16384
17,ModuleMobile,Mobile data sent today (SIM1),187,1692950,1692950,Passed,,2.3362691806198987%,77508608,229376
18,ModuleMobile,Mobile data received this week (SIM1),189,1383982203,1383982203,Passed,,2.3365943017500057%,77430784,-77824
19,ModuleMobile,Mobile data sent this week (SIM1),191,115068905,115068905,Passed,,2.3378308857917918%,77426688,-4096
20,ModuleMobile,Mobile data received this month (SIM1),193,676905266,1353793842,Failed,,2.338825794107735%,77258752,-167936
21,ModuleMobile,Mobile data sent this month (SIM1),195,108564366,108564366,Passed,,2.3403318619410696%,77430784,172032
22,ModuleMobile,Mobile data received last 24h (SIM1),197,4840549,4840549,Passed,,2.341217900772874%,77475840,45056
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,1692950,1692950,Passed,,2.3422711090683834%,77508608,32768
24,ModuleMobile,Active SIM card,205,1,1,Passed,,2.3432251330514853%,77443072,-65536
25,ModuleMobile,Mobile data received last week (SIM1),292,1386254136,1386254136,Passed,,2.344481676982957%,77467648,24576
26,ModuleMobile,Mobile data sent last week (SIM1),294,117236055,117236055,Passed,,2.345321135924272%,77459456,-8192
27,ModuleMobile,Mobile data received last month (SIM1),296,349383784,1397501032,Failed,,2.3463156439860744%,77549568,90112
28,ModuleMobile,Mobile data sent last month (SIM1),298,31122801,124462449,Failed,,2.347060529558209%,77635584,86016
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,2.347958770591352%,77533184,-102400
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,2.3489919825640193%,77516800,-16384
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,2.3497683505116496%,77504512,-12288
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,2.350665976629529%,77565952,61440
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,2.3526390836885125%,77631488,65536
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,2.3534125454393373%,77623296,-8192
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,2.3542132171200603%,77705216,81920
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,2.3546659718684526%,77737984,32768
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,2.355489110042708%,77807616,69632
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,2.355973617760776%,77746176,-61440
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,2.3568925403942953%,77811712,65536
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,2.3580808090623018%,77836288,24576
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,2.3592366192695002%,77836288,0
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,2.3603874532293623%,77844480,8192
43,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,2.3621343703079223%,77971456,126976
44,ModuleGPS,GPS date and time,163,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,2.3634831177002935%,77955072,-16384
45,ModuleGPS,GPS speed,179,0,0,Passed,,2.3643407089526836%,78077952,122880
46,ModuleGPS,GPS satellite count,181,0,0,Passed,,2.365332530845621%,78065664,-12288
47,ModuleGPS,GPS accuracy,183,0,0,Passed,,2.3664618580316987%,78131200,65536
48,ModuleSystem,System uptime,1,1296,1296,Passed,,2.365638117110336%,78069760,-61440
49,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,2.3676728969425187%,78073856,4096
50,ModuleSystem,System temperature (in 0.1 °C),5,330,330,Passed,,2.3683256321707535%,78057472,-16384
51,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,2.368935878966727%,78262272,204800
52,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,2.3701598331097307%,78028800,-233472
53,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,2.3711208300376874%,78090240,61440
54,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,2.372321494341556%,78110720,20480
55,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,2.3736652252035695%,78241792,131072
56,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,2.374523922587146%,78282752,40960
57,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,2.3787564666447047%,78462976,180224
