Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,2384,2384,Passed,,2.545%,83468288,98304
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,2.546%,83480576,12288
3,ModuleSystem,System temperature (in 0.1 °C),5,360,360,Passed,,2.548%,83337216,-143360
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,2.548%,83456000,118784
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,2.548%,83513344,57344
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,2.549%,83529728,16384
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,2.551%,83533824,4096
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,2.552%,83456000,-77824
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,2.552%,83456000,0
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,2.555%,83832832,376832
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,2.558%,83877888,45056
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,2.558%,83693568,-184320
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,2.559%,83714048,20480
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,2.568%,83828736,114688
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,2.568%,83701760,-126976
16,ModuleMobile,Mobile data received today (SIM1),185,228702439,228702439,Passed,,2.569%,83894272,192512
17,ModuleMobile,Mobile data sent today (SIM1),187,22842991,22842991,Passed,,2.569%,83910656,16384
18,ModuleMobile,Mobile data received this week (SIM1),189,228702439,228702439,Passed,,2.569%,83816448,-94208
19,ModuleMobile,Mobile data sent this week (SIM1),191,22842991,22842991,Passed,,2.569%,83951616,135168
20,ModuleMobile,Mobile data received this month (SIM1),193,53326886,1706427430,Failed,,2.57%,84017152,65536
21,ModuleMobile,Mobile data sent this month (SIM1),195,69291310,138562862,Failed,,2.57%,83980288,-36864
22,ModuleMobile,Mobile data received last 24h (SIM1),197,228702439,228702439,Passed,,2.571%,83922944,-57344
