Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,33497,33498,Passed,,0.707%,87642112,-53248
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.707%,87224320,-417792
3,ModuleSystem,System temperature (in 0.1 °C),5,430,430,Passed,,0.707%,87220224,-4096
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.707%,87273472,53248
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.707%,87212032,-61440
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.707%,87072768,-139264
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.708%,87322624,249856
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.708%,87306240,-16384
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.708%,87388160,81920
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,,Failed,,0.708%,87281664,-106496
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.708%,87064576,-217088
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.709%,87449600,385024
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,0.709%,87351296,-98304
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,0.709%,87240704,-110592
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,0.709%,87326720,86016
16,ModuleMobile,Mobile data received today (SIM1),185,114149892,228280836,Failed,,0.709%,87425024,98304
17,ModuleMobile,Mobile data sent today (SIM1),187,21233446,21233446,Passed,,0.709%,87343104,-81920
18,ModuleMobile,Mobile data received this week (SIM1),189,114149892,228280836,Failed,,0.709%,87318528,-24576
19,ModuleMobile,Mobile data sent this week (SIM1),191,21233446,21233446,Passed,,0.709%,87449600,131072
20,ModuleMobile,Mobile data received this month (SIM1),193,1706005827,1706005827,Passed,,0.709%,87433216,-16384
21,ModuleMobile,Mobile data sent this month (SIM1),195,136953317,136953317,Passed,,0.709%,87527424,94208
22,ModuleMobile,Mobile data received last 24h (SIM1),197,114149892,228280836,Failed,,0.709%,87494656,-32768
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,21233446,21233446,Passed,,0.709%,87621632,126976
24,ModuleMobile,Active SIM card,205,1,1,Passed,,0.709%,87605248,-16384
25,ModuleMobile,Mobile data received last week (SIM1),292,434059404,1736194188,Failed,,0.709%,87711744,106496
26,ModuleMobile,Mobile data sent last week (SIM1),294,143457856,143457856,Passed,,0.71%,87662592,-49152
27,ModuleMobile,Mobile data received last month (SIM1),296,1749713017,1749713017,Passed,,0.71%,87564288,-98304
28,ModuleMobile,Mobile data sent last month (SIM1),298,76436424,152851400,Failed,,0.71%,87764992,200704
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,0.71%,87662592,-102400
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,0.71%,87658496,-4096
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,0.71%,87638016,-20480
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,0.71%,87601152,-36864
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,0.71%,87748608,147456
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,0.71%,87666688,-81920
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,0.71%,87822336,155648
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,0.71%,87879680,57344
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,0.71%,87769088,-110592
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,0.71%,87830528,61440
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,0.71%,87932928,102400
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,0.71%,87945216,12288
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,0.71%,88113152,167936
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,0.71%,88080384,-32768
43,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,0.71%,88027136,-53248
44,ModuleGPS,GPS date and time,163,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,0.71%,88051712,24576
45,ModuleGPS,GPS speed,179,0,0,Passed,,0.71%,88109056,57344
46,ModuleGPS,GPS satellite count,181,0,0,Passed,,0.71%,88248320,139264
47,ModuleGPS,GPS accuracy,183,0,0,Passed,,0.711%,88276992,28672
48,ModuleSystem,System uptime,1,33511,33511,Passed,,0.711%,88195072,-81920
49,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.711%,88244224,49152
50,ModuleSystem,System temperature (in 0.1 °C),5,430,430,Passed,,0.711%,88268800,24576
51,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.711%,88334336,65536
52,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.711%,87998464,-335872
53,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.711%,88055808,57344
54,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.711%,88027136,-28672
55,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.711%,88088576,61440
