Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,961,961,Passed,,4.438%,83439616,-16384
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-61,-61,Passed,,4.439%,83550208,110592
3,ModuleSystem,System temperature (in 0.1 °C),5,320,320,Passed,,4.44%,83542016,-8192
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,4.442%,83619840,77824
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,4.443%,83734528,114688
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,4.444%,83836928,102400
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,4.446%,83845120,8192
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,4.448%,83791872,-53248
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,4.449%,83824640,32768
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,4.453%,83980288,155648
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,4.455%,83984384,4096
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,4.456%,83824640,-159744
