Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,986,986,Passed,,4.415%,83787776,8192
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,4.416%,83877888,90112
3,ModuleSystem,System temperature (in 0.1 °C),5,330,330,Passed,,4.417%,83906560,28672
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,4.418%,83922944,16384
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,4.419%,84013056,90112
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,4.42%,84054016,40960
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,4.422%,84013056,-40960
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,4.422%,84090880,77824
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,4.423%,84131840,40960
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,,Failed,,4.427%,84320256,188416
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,4.428%,84258816,-61440
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,4.433%,84078592,-180224
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,4.434%,84033536,-45056
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,4.434%,84226048,192512
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,4.435%,84217856,-8192
16,ModuleMobile,Mobile data received today (SIM1),185,225698295,225698295,Passed,,4.436%,84119552,-98304
17,ModuleMobile,Mobile data sent today (SIM1),187,10810227,21590899,Failed,,4.437%,84090880,-28672
18,ModuleMobile,Mobile data received this week (SIM1),189,225698295,225698295,Passed,,4.438%,84209664,118784
19,ModuleMobile,Mobile data sent this week (SIM1),191,10810227,21590899,Failed,,4.439%,84168704,-40960
20,ModuleMobile,Mobile data received this month (SIM1),193,425864502,1703423286,Failed,,4.439%,84353024,184320
21,ModuleMobile,Mobile data sent this month (SIM1),195,34337330,137310770,Failed,,4.441%,84344832,-8192
22,ModuleMobile,Mobile data received last 24h (SIM1),197,225698295,225698295,Passed,,4.443%,84365312,20480
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,10810227,21590899,Failed,,4.443%,84348928,-16384
24,ModuleMobile,Active SIM card,205,1,1,Passed,,4.444%,84230144,-118784
25,ModuleMobile,Mobile data received last week (SIM1),292,1733611647,1733611647,Passed,,4.446%,84303872,73728
26,ModuleMobile,Mobile data sent last week (SIM1),294,71922317,143815309,Failed,,4.447%,84279296,-24576
