Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,30872,30872,Passed,,0.6780051179583579%,78811136,167936
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-73,-73,Passed,,0.6780817168858033%,78749696,-61440
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.6781164056343436%,78819328,69632
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.6781715946290512%,78753792,-65536
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.678217552585636%,78757888,4096
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.6782568153653967%,78893056,135168
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.6783192495368406%,78893056,0
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.6783573539852816%,78860288,-32768
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.6784046890749518%,78962688,102400
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.6786599536251381%,78966784,4096
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.6787487724911889%,78974976,8192
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.6788142541077513%,78925824,-49152
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,0.6789111413243121%,78807040,-118784
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,0.6789750743649958%,78798848,-8192
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,0.6790716809805697%,78737408,-61440
16,ModuleMobile,Mobile data received today (SIM1),185,208567072,417102624,Failed,,0.6791334990943199%,78872576,135168
17,ModuleMobile,Mobile data sent today (SIM1),187,11825509,47264101,Failed,,0.6791951510233707%,78917632,45056
18,ModuleMobile,Mobile data received this week (SIM1),189,172570242,1380521602,Failed,,0.6792415413805042%,78905344,-12288
19,ModuleMobile,Mobile data sent this week (SIM1),191,113815092,113815092,Passed,,0.6792946785061704%,78950400,45056
20,ModuleMobile,Mobile data received this month (SIM1),193,675181369,1350333241,Failed,,0.6793331064744779%,78938112,-12288
21,ModuleMobile,Mobile data sent this month (SIM1),195,53669337,107310553,Failed,,0.6793691599950469%,78929920,-8192
22,ModuleMobile,Mobile data received last 24h (SIM1),197,106903768,427571416,Failed,,0.6794242834344932%,78917632,-12288
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,49937200,49937200,Passed,,0.6794781916969472%,78962688,45056
24,ModuleMobile,Active SIM card,205,1,1,Passed,,0.6795335353737331%,79052800,90112
25,ModuleMobile,Mobile data received last week (SIM1),292,347811793,1391210449,Failed,,0.6795640556394589%,79106048,53248
