Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,1706,1706,Passed,,3.598%,84803584,-245760
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,3.599%,84676608,-126976
3,ModuleSystem,System temperature (in 0.1 °C),5,400,400,Passed,,3.599%,84459520,-217088
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,3.6%,84320256,-139264
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,3.601%,84312064,-8192
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,3.602%,84336640,24576
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,3.602%,84303872,-32768
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,3.603%,84258816,-45056
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,3.603%,84328448,69632
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,3.607%,84619264,290816
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,3.608%,84537344,-81920
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,3.612%,84504576,-32768
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,3.614%,84561920,57344
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,3.615%,84525056,-36864
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,3.616%,84619264,94208
16,ModuleMobile,Mobile data received today (SIM1),185,651473909,651473909,Passed,,3.616%,84549632,-69632
17,ModuleMobile,Mobile data sent today (SIM1),187,12960188,12960188,Passed,,3.617%,84684800,135168
18,ModuleMobile,Mobile data received this week (SIM1),189,651473909,651473909,Passed,,3.617%,84725760,40960
19,ModuleMobile,Mobile data sent this week (SIM1),191,12960188,12960188,Passed,,3.618%,84664320,-61440
20,ModuleMobile,Mobile data received this month (SIM1),193,651473909,651473909,Passed,,3.619%,84709376,45056
21,ModuleMobile,Mobile data sent this month (SIM1),195,12960188,12960188,Passed,,3.62%,84557824,-151552
22,ModuleMobile,Mobile data received last 24h (SIM1),197,651473909,651473909,Passed,,3.621%,84647936,90112
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,12971998,12971998,Passed,,3.621%,84627456,-20480
24,ModuleMobile,Active SIM card,205,1,1,Passed,,3.622%,84656128,28672
25,ModuleMobile,Mobile data received last week (SIM1),292,40720591,651495631,Failed,,3.623%,84602880,-53248
26,ModuleMobile,Mobile data sent last week (SIM1),294,12971998,12971998,Passed,,3.624%,84475904,-126976
27,ModuleMobile,Mobile data received last month (SIM1),296,40720591,651495631,Failed,,3.625%,84635648,159744
28,ModuleMobile,Mobile data sent last month (SIM1),298,12971998,12971998,Passed,,3.625%,84443136,-192512
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,3.626%,84656128,212992
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,3.626%,84721664,65536
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,3.627%,84729856,8192
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,3.628%,84647936,-81920
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,3.629%,84652032,4096
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,3.63%,84680704,28672
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,3.63%,84611072,-69632
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,3.631%,84672512,61440
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,3.632%,84647936,-24576
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,3.633%,84705280,57344
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,3.633%,84676608,-28672
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,3.634%,84742144,65536
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,3.635%,84611072,-131072
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,3.636%,84652032,40960
43,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,3.637%,84770816,118784
44,ModuleGPS,GPS date and time,163,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,3.638%,84668416,-102400
45,ModuleGPS,GPS speed,179,0,0,Passed,,3.639%,84627456,-40960
46,ModuleGPS,GPS satellite count,181,0,0,Passed,,3.639%,84676608,49152
47,ModuleGPS,GPS accuracy,183,0,0,Passed,,3.64%,84717568,40960
48,ModuleSystem,System uptime,1,1715,1715,Passed,,3.639%,84553728,-163840
49,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,3.639%,84639744,86016
50,ModuleSystem,System temperature (in 0.1 °C),5,400,400,Passed,,3.64%,84672512,32768
51,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,3.641%,84611072,-61440
52,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,3.642%,84500480,-110592
53,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,3.642%,84516864,16384
54,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,3.644%,84643840,126976
55,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,3.644%,84488192,-155648
56,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,3.646%,84439040,-49152
57,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,3.648%,84697088,258048
58,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,3.649%,84508672,-188416
59,ModuleMobile,GSM operator name,23,bite,bite,Passed,,3.65%,84443136,-65536
60,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,3.651%,84459520,16384
61,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,3.652%,84385792,-73728
62,ModuleMobile,Network type,119,lte,lte-a,Failed,,3.653%,84398080,12288
63,ModuleMobile,Mobile data received today (SIM1),185,40720591,651495631,Failed,,3.653%,84434944,36864
64,ModuleMobile,Mobile data sent today (SIM1),187,12971998,12971998,Passed,,3.654%,84402176,-32768
65,ModuleMobile,Mobile data received this week (SIM1),189,40720591,651495631,Failed,,3.654%,84316160,-86016
66,ModuleMobile,Mobile data sent this week (SIM1),191,12971998,12971998,Passed,,3.655%,84279296,-36864
67,ModuleMobile,Mobile data received this month (SIM1),193,40720591,651495631,Failed,,3.655%,84377600,98304
68,ModuleMobile,Mobile data sent this month (SIM1),195,12971998,12971998,Passed,,3.656%,84336640,-40960
69,ModuleMobile,Mobile data received last 24h (SIM1),197,40720591,651495631,Failed,,3.656%,84344832,8192
