Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,1814,1814,Passed,,2.993%,83996672,-40960
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-61,-61,Passed,,2.995%,84054016,57344
3,ModuleSystem,System temperature (in 0.1 °C),5,350,350,Passed,,2.996%,83890176,-163840
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,2.997%,84119552,229376
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,2.997%,84201472,81920
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,2.998%,84168704,-32768
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,2.999%,84197376,28672
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,3.0%,84156416,-40960
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,3.001%,84164608,8192
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,3.007%,84283392,118784
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,3.015%,83873792,-409600
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,3.018%,83742720,-131072
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,3.019%,83611648,-131072
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,3.02%,83537920,-73728
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,3.021%,83607552,69632
16,ModuleMobile,Mobile data received today (SIM1),185,113984895,227951999,Failed,,3.022%,83570688,-36864
17,ModuleMobile,Mobile data sent today (SIM1),187,11255953,22495377,Failed,,3.023%,83644416,73728
18,ModuleMobile,Mobile data received this week (SIM1),189,113984895,227951999,Failed,,3.022%,83668992,24576
19,ModuleMobile,Mobile data sent this week (SIM1),191,22534120,22534120,Passed,,3.024%,83714048,45056
20,ModuleMobile,Mobile data received this month (SIM1),193,852874783,1705727519,Failed,,3.024%,83865600,151552
21,ModuleMobile,Mobile data sent this month (SIM1),195,138253991,138253991,Passed,,3.025%,83775488,-90112
22,ModuleMobile,Mobile data received last 24h (SIM1),197,14252768,228002528,Failed,,3.026%,83767296,-8192
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,22534120,22534120,Passed,,3.027%,83853312,86016
24,ModuleMobile,Active SIM card,205,1,1,Passed,,3.028%,83718144,-135168
25,ModuleMobile,Mobile data received last week (SIM1),292,1735915880,1735915880,Passed,,3.028%,83972096,253952
26,ModuleMobile,Mobile data sent last week (SIM1),294,144758530,144758530,Passed,,3.029%,83996672,24576
27,ModuleMobile,Mobile data received last month (SIM1),296,874725717,1749434709,Failed,,3.03%,83951616,-45056
28,ModuleMobile,Mobile data sent last month (SIM1),298,38546570,154152074,Failed,,3.031%,84107264,155648
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,3.031%,83894272,-212992
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,3.032%,83935232,40960
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,3.033%,84045824,110592
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,3.034%,84078592,32768
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,3.034%,84168704,90112
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,3.035%,84135936,-32768
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,3.036%,84205568,69632
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,3.037%,84471808,266240
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,3.043%,84209664,-262144
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,3.045%,84205568,-4096
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,3.046%,84185088,-20480
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,3.047%,84205568,20480
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,3.048%,84107264,-98304
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,3.049%,84041728,-65536
43,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,3.05%,84111360,69632
44,ModuleGPS,GPS date and time,163,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,3.05%,84221952,110592
45,ModuleGPS,GPS speed,179,0,0,Passed,,3.051%,84078592,-143360
46,ModuleGPS,GPS satellite count,181,0,0,Passed,,3.052%,84144128,65536
47,ModuleGPS,GPS accuracy,183,0,0,Passed,,3.052%,84185088,40960
48,ModuleSystem,System uptime,1,1836,1836,Passed,,3.052%,84172800,-12288
49,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-61,-61,Passed,,3.052%,83976192,-196608
50,ModuleSystem,System temperature (in 0.1 °C),5,350,350,Passed,,3.053%,84062208,86016
51,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,3.054%,84180992,118784
52,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,3.055%,84054016,-126976
53,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,3.055%,84140032,86016
54,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,3.056%,84021248,-118784
