Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,1014,1014,Passed,,4.414%,84439040,-16384
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,4.416%,84328448,-110592
3,ModuleSystem,System temperature (in 0.1 °C),5,330,330,Passed,,4.417%,84516864,188416
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,4.418%,84418560,-98304
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,4.42%,84537344,118784
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,4.42%,84615168,77824
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,4.422%,84701184,86016
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,4.425%,84656128,-45056
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,4.426%,84529152,-126976
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,,Failed,,4.425%,84934656,405504
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,4.438%,85000192,65536
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,4.442%,85082112,81920
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,4.447%,85090304,8192
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,4.448%,84885504,-204800
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,4.449%,84873216,-12288
16,ModuleMobile,Mobile data received today (SIM1),185,56441850,225721338,Failed,,4.451%,85045248,172032
17,ModuleMobile,Mobile data sent today (SIM1),187,21597837,21597837,Passed,,4.451%,84942848,-102400
18,ModuleMobile,Mobile data received this week (SIM1),189,56441850,225721338,Failed,,4.452%,84901888,-40960
19,ModuleMobile,Mobile data sent this week (SIM1),191,21597837,21597837,Passed,,4.453%,84983808,81920
20,ModuleMobile,Mobile data received this month (SIM1),193,1703446329,1703446329,Passed,,4.455%,85000192,16384
21,ModuleMobile,Mobile data sent this month (SIM1),195,68668748,137317708,Failed,,4.456%,85098496,98304
22,ModuleMobile,Mobile data received last 24h (SIM1),197,56441850,225721338,Failed,,4.457%,84987904,-110592
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,21597837,21597837,Passed,,4.458%,85090304,102400
24,ModuleMobile,Active SIM card,205,1,1,Passed,,4.459%,85204992,114688
