Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,239,239,Passed,,10.64%,76345344,94208
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-61,-61,Passed,,10.669%,76460032,114688
3,ModuleSystem,System temperature (in 0.1 °C),5,290,290,Passed,,10.671%,76496896,36864
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,10.673%,76476416,-20480
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,10.675%,76402688,-73728
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,10.676%,76644352,241664
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,10.681%,76574720,-69632
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,10.682%,76500992,-73728
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,10.686%,76578816,77824
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,10.714%,77000704,421888
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,10.717%,76832768,-167936
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,10.712%,76754944,-77824
