Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,1554,1554,Passed,,3.202%,83181568,-32768
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-61,-61,Passed,,3.202%,83210240,28672
3,ModuleSystem,System temperature (in 0.1 °C),5,340,340,Passed,,3.204%,83562496,352256
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,3.204%,83566592,4096
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,3.205%,83562496,-4096
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,3.205%,83714048,151552
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,3.206%,83673088,-40960
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,3.207%,83648512,-24576
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,3.208%,83640320,-8192
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,3.211%,83771392,131072
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,3.219%,83636224,-135168
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,3.221%,83718144,81920
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,3.222%,83849216,131072
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,3.224%,83730432,-118784
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,3.225%,83505152,-225280
16,ModuleMobile,Mobile data received today (SIM1),185,227140744,227140744,Passed,,3.226%,83619840,114688
17,ModuleMobile,Mobile data sent today (SIM1),187,22073797,22073797,Passed,,3.227%,83660800,40960
18,ModuleMobile,Mobile data received this week (SIM1),189,227140744,227140744,Passed,,3.228%,83587072,-73728
19,ModuleMobile,Mobile data sent this week (SIM1),191,22073797,22073797,Passed,,3.23%,83554304,-32768
20,ModuleMobile,Mobile data received this month (SIM1),193,426225607,1704865735,Failed,,3.23%,83529728,-24576
21,ModuleMobile,Mobile data sent this month (SIM1),195,137793668,137836221,Failed,,3.231%,83697664,167936
22,ModuleMobile,Mobile data received last 24h (SIM1),197,227192844,227192844,Passed,,3.232%,83791872,94208
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,11073534,22116350,Failed,,3.233%,83755008,-36864
24,ModuleMobile,Active SIM card,205,1,1,Passed,,3.234%,83804160,49152
25,ModuleMobile,Mobile data received last week (SIM1),292,1735106196,1735106196,Passed,,3.236%,83836928,32768
26,ModuleMobile,Mobile data sent last week (SIM1),294,72185624,144340760,Failed,,3.237%,83963904,126976
27,ModuleMobile,Mobile data received last month (SIM1),296,1748625025,1748625025,Passed,,3.238%,83963904,0
28,ModuleMobile,Mobile data sent last month (SIM1),298,153734304,153734304,Passed,,3.239%,84119552,155648
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,3.24%,84021248,-98304
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,3.241%,84078592,57344
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,3.243%,84209664,131072
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,3.243%,84111360,-98304
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,3.244%,84262912,151552
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,3.245%,84258816,-4096
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,3.246%,84226048,-32768
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,3.248%,84353024,126976
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,3.249%,84779008,425984
