Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
18,ModuleMobile,Mobile data received this week (SIM1),189,1387790317,1387790317,Passed,,1.3061046176299995%,77168640,-102400
19,ModuleMobile,Mobile data sent this week (SIM1),191,116302448,116302448,Passed,,1.306454885175945%,77258752,90112
20,ModuleMobile,Mobile data received this month (SIM1),193,678812836,1357601956,Failed,,1.3068329159921177%,77393920,135168
21,ModuleMobile,Mobile data sent this month (SIM1),195,54911509,109797909,Failed,,1.3074381557947934%,77369344,-24576
22,ModuleMobile,Mobile data received last 24h (SIM1),197,8648663,8648663,Passed,,1.3077893958467812%,77369344,0
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,2926493,2926493,Passed,,1.308248081266139%,77529088,159744
24,ModuleMobile,Active SIM card,205,1,1,Passed,,1.3086821243836977%,77422592,-106496
25,ModuleMobile,Mobile data received last week (SIM1),292,1390062250,1390062250,Passed,,1.3091054228174914%,77414400,-8192
26,ModuleMobile,Mobile data sent last week (SIM1),294,118469598,118469598,Passed,,1.3098018817309875%,77516800,102400
27,ModuleMobile,Mobile data received last month (SIM1),296,700663770,1401309146,Failed,,1.3102379462770597%,77426688,-90112
28,ModuleMobile,Mobile data sent last month (SIM1),298,125695992,125695992,Passed,,1.3106104160243492%,77590528,163840
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,1.311126048990796%,77598720,8192
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,1.3115081198527667%,77598720,0
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,1.3118655016906344%,77680640,81920
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,1.3122421695170305%,77676544,-4096
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,1.3127555192150475%,77742080,65536
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,1.313042859700897%,77680640,-61440
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,1.3134786703818513%,77701120,20480
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,1.313910147873143%,77647872,-53248
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,1.3144373091560135%,77647872,0
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,1.31481598053651%,77721600,73728
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,1.315262406662887%,77799424,77824
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,1.315705576237347%,77799424,0
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,1.3162229257554503%,77844480,45056
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,1.3166015055048441%,77856768,12288
43,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,1.3169682266702454%,77848576,-8192
44,ModuleGPS,GPS date and time,163,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,1.3173166202414155%,77860864,12288
45,ModuleGPS,GPS speed,179,0,0,Passed,,1.3178553710125773%,77922304,61440
46,ModuleGPS,GPS satellite count,181,0,0,Passed,,1.3182854280014311%,77815808,-106496
47,ModuleGPS,GPS accuracy,183,0,0,Passed,,1.31883058294322%,77983744,167936
48,ModuleSystem,System uptime,1,3073,3073,Passed,,1.319315318730374%,77930496,-53248
49,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,1.320087798908809%,77996032,65536
50,ModuleSystem,System temperature (in 0.1 °C),5,360,360,Passed,,1.3204883993713668%,78094336,98304
51,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,1.3208579736661563%,78073856,-20480
52,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,1.3213854863226238%,78110720,36864
53,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,1.321843164255998%,78159872,49152
54,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,1.3222770607389855%,78188544,28672
55,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,1.3228023122293653%,78266368,77824
56,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,1.3234059512026164%,78266368,0
57,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,1.3257286567566307%,78446592,180224
58,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,1.3264427217915542%,78393344,-53248
59,ModuleMobile,GSM operator name,23,bite,bite,Passed,,1.3271793398225595%,78352384,-40960
60,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,1.3283859967302525%,78426112,73728
61,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,1.3290286461372425%,78360576,-65536
62,ModuleMobile,Network type,119,lte,lte-a,Failed,,1.3296003773212273%,78241792,-118784
63,ModuleMobile,Mobile data received today (SIM1),185,4351227,8676603,Failed,,1.3301140564031644%,78131200,-110592
64,ModuleMobile,Mobile data sent today (SIM1),187,2941225,2941225,Passed,,1.3305678106541707%,78204928,73728
65,ModuleMobile,Mobile data received this week (SIM1),189,693923089,1387818257,Failed,,1.331077067681441%,78352384,147456
66,ModuleMobile,Mobile data sent this week (SIM1),191,116317180,116317180,Passed,,1.3314916541091404%,78262272,-90112
67,ModuleMobile,Mobile data received this month (SIM1),193,1357629896,1357629896,Passed,,1.3318735075062205%,78270464,8192
68,ModuleMobile,Mobile data sent this month (SIM1),195,109812641,109812641,Passed,,1.3322390426805941%,78487552,217088
69,ModuleMobile,Mobile data received last 24h (SIM1),197,4351227,8676603,Failed,,1.3326654777967906%,78422016,-65536
70,ModuleMobile,Mobile data sent last 24h (SIM1),199,2941225,2941225,Passed,,1.3329667810646928%,78540800,118784
71,ModuleMobile,Active SIM card,205,1,1,Passed,,1.3333311580199347%,78536704,-4096
72,ModuleMobile,Mobile data received last week (SIM1),292,173766606,1390090190,Failed,,1.33376402711739%,78319616,-217088
73,ModuleMobile,Mobile data sent last week (SIM1),294,118484330,118484330,Passed,,1.3342218901463143%,78368768,49152
74,ModuleMobile,Mobile data received last month (SIM1),296,1401337086,1401337086,Passed,,1.3348276224897093%,78462976,94208
75,ModuleMobile,Mobile data sent last month (SIM1),298,31437188,125710724,Failed,,1.3351201273702484%,78442496,-20480
76,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,1.3355692053220514%,78594048,151552
77,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,1.336001911719964%,78577664,-16384
78,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,1.3362780110702688%,78536704,-40960
79,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,1.3367400863812495%,78737408,200704
80,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,1.3371803330025078%,78688256,-49152
81,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,1.337603094843176%,78569472,-118784
82,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,1.3380585470946227%,78479360,-90112
83,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,1.3384269772865331%,78471168,-8192
84,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,1.338885659001643%,78598144,126976
85,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,1.3394018311491007%,78487552,-110592
86,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,1.3395885514506323%,78487552,0
87,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,1.339864431874327%,78536704,49152
88,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,1.3405260686380704%,78606336,69632
89,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,1.3409074604282312%,78573568,-32768
90,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,1.3415005959145243%,78528512,-45056
91,ModuleGPS,GPS date and time,163,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,1.3422047373754076%,78577664,49152
92,ModuleGPS,GPS speed,179,0,0,Passed,,1.3426380298085072%,78585856,8192
93,ModuleGPS,GPS satellite count,181,0,0,Passed,,1.3432529234641777%,78589952,4096
94,ModuleGPS,GPS accuracy,183,0,0,Passed,,1.3436035375147704%,78655488,65536
95,ModuleSystem,System uptime,1,3081,3081,Passed,,1.3436041509138796%,78397440,-258048
96,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,1.3441950879319764%,78434304,36864
97,ModuleSystem,System temperature (in 0.1 °C),5,370,360,Passed,,1.3448395813628777%,78356480,-77824
98,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,1.345296594152845%,78364672,8192
99,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,1.3457294676466947%,78417920,53248
