Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,30010,30011,Passed,,0.661%,84721664,-69632
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.661%,84955136,233472
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.661%,84897792,-57344
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.661%,84934656,36864
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.661%,85020672,86016
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.661%,84996096,-24576
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.662%,84938752,-57344
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.662%,85032960,94208
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.662%,84979712,-53248
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.662%,85078016,98304
