Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,4310,4310,Passed,,1.244%,78024704,-147456
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-81,-81,Passed,,1.244%,78180352,155648
3,ModuleSystem,System temperature (in 0.1 °C),5,370,370,Passed,,1.245%,78163968,-16384
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,1.245%,78274560,110592
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,1.246%,78249984,-24576
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,1.246%,78180352,-69632
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,1.246%,78409728,229376
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,1.247%,78426112,16384
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,1.247%,78426112,0
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,1.248%,78573568,147456
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,1.249%,78520320,-53248
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,1.249%,78684160,163840
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,1.253%,78761984,77824
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,1.254%,78831616,69632
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,1.255%,79085568,253952
16,ModuleMobile,Mobile data received today (SIM1),185,9158991,9158991,Passed,,1.256%,78897152,-188416
17,ModuleMobile,Mobile data sent today (SIM1),187,1503369,2977929,Failed,,1.256%,78860288,-36864
18,ModuleMobile,Mobile data received this week (SIM1),189,239575489,239575489,Passed,,1.256%,78671872,-188416
19,ModuleMobile,Mobile data sent this week (SIM1),191,13324340,26628148,Failed,,1.257%,78778368,106496
20,ModuleMobile,Mobile data received this month (SIM1),193,1717300480,1717300480,Passed,,1.257%,78823424,45056
21,ModuleMobile,Mobile data sent this month (SIM1),195,8900339,142348019,Failed,,1.257%,78942208,118784
22,ModuleMobile,Mobile data received last 24h (SIM1),197,111699810,223373154,Failed,,1.258%,78946304,4096
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,22802142,22802142,Passed,,1.258%,79048704,102400
24,ModuleMobile,Active SIM card,205,1,1,Passed,,1.259%,79020032,-28672
25,ModuleMobile,Mobile data received last week (SIM1),292,1717300480,1717300480,Passed,,1.259%,79048704,28672
26,ModuleMobile,Mobile data sent last week (SIM1),294,8900339,142348019,Failed,,1.259%,79048704,0
27,ModuleMobile,Mobile data received last month (SIM1),296,1761007670,1761007670,Passed,,1.26%,78979072,-69632
28,ModuleMobile,Mobile data sent last month (SIM1),298,158246102,158246102,Passed,,1.26%,78974976,-4096
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,1.26%,78966784,-8192
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,1.261%,79015936,49152
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,1.261%,79097856,81920
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,1.261%,78991360,-106496
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,1.262%,79126528,135168
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,1.262%,79114240,-12288
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,1.263%,79024128,-90112
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,1.263%,79101952,77824
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,1.263%,79122432,20480
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,1.264%,79130624,8192
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,1.266%,79114240,-16384
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,1.267%,79040512,-73728
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,1.268%,79335424,294912
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,1.268%,79265792,-69632
43,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,1.269%,79360000,94208
44,ModuleGPS,GPS date and time,163,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,1.269%,79314944,-45056
