Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,26983,26983,Passed,,0.653%,84463616,-53248
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.653%,84459520,-4096
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.653%,84606976,147456
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.653%,84656128,49152
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.653%,84652032,-4096
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.653%,84897792,245760
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.653%,84574208,-323584
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.653%,84762624,188416
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.654%,84545536,-217088
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.654%,84557824,12288
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.654%,84516864,-40960
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.654%,84467712,-49152
