Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,1216,1216,Passed,,3.853%,84021248,-106496
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-61,-61,Passed,,3.854%,83963904,-57344
3,ModuleSystem,System temperature (in 0.1 °C),5,340,340,Passed,,3.855%,84160512,196608
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,3.856%,84213760,53248
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,3.857%,84221952,8192
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,3.858%,84275200,53248
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,3.859%,84144128,-131072
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,3.86%,84135936,-8192
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,3.861%,84185088,49152
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,,Failed,,3.866%,84324352,139264
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,3.867%,84217856,-106496
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,3.869%,84353024,135168
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,3.87%,84324352,-28672
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,3.871%,84303872,-20480
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,3.875%,84193280,-110592
16,ModuleMobile,Mobile data received today (SIM1),185,226474604,226474604,Passed,,3.876%,84103168,-90112
17,ModuleMobile,Mobile data sent today (SIM1),187,10943104,21854848,Failed,,3.876%,84148224,45056
18,ModuleMobile,Mobile data received this week (SIM1),189,226474604,226474604,Passed,,3.877%,84189184,40960
19,ModuleMobile,Mobile data sent this week (SIM1),191,10943104,21854848,Failed,,3.878%,84295680,106496
20,ModuleMobile,Mobile data received this month (SIM1),193,53257643,1704199595,Failed,,3.879%,84267008,-28672
21,ModuleMobile,Mobile data sent this month (SIM1),195,34404671,137574719,Failed,,3.88%,84303872,36864
22,ModuleMobile,Mobile data received last 24h (SIM1),197,226474604,226474604,Passed,,3.88%,84312064,8192
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,10943104,21854848,Failed,,3.881%,84414464,102400
24,ModuleMobile,Active SIM card,205,1,1,Passed,,3.882%,84402176,-12288
25,ModuleMobile,Mobile data received last week (SIM1),292,1734387956,1734387956,Passed,,3.883%,84398080,-4096
26,ModuleMobile,Mobile data sent last week (SIM1),294,72055194,144079258,Failed,,3.884%,84295680,-102400
