Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,32555,32555,Passed,,0.682%,83939328,126976
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.682%,83881984,-57344
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.682%,83984384,102400
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.682%,83976192,-8192
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.682%,84094976,118784
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.682%,84135936,40960
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.682%,84164608,28672
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.682%,84025344,-139264
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.682%,84078592,53248
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,,Failed,,0.683%,84492288,413696
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.683%,84480000,-12288
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.683%,84525056,45056
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,0.683%,84701184,176128
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,0.683%,84783104,81920
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,0.683%,84783104,0
16,ModuleMobile,Mobile data received today (SIM1),185,110917895,221804807,Failed,,0.683%,84729856,-53248
17,ModuleMobile,Mobile data sent today (SIM1),187,2455948,19601804,Failed,,0.683%,84914176,184320
18,ModuleMobile,Mobile data received this week (SIM1),189,110917895,221804807,Failed,,0.683%,85106688,192512
19,ModuleMobile,Mobile data sent this week (SIM1),191,2455948,19601804,Failed,,0.684%,84914176,-192512
20,ModuleMobile,Mobile data received this month (SIM1),193,1699529798,1699529798,Passed,,0.684%,85045248,131072
21,ModuleMobile,Mobile data sent this month (SIM1),195,135321675,135321675,Passed,,0.684%,85053440,8192
22,ModuleMobile,Mobile data received last 24h (SIM1),197,110917895,221804807,Failed,,0.684%,85004288,-49152
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,2455948,19601804,Failed,,0.684%,85065728,61440
24,ModuleMobile,Active SIM card,205,1,1,Passed,,0.684%,84881408,-184320
