Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,27028,27028,Passed,,0.655%,83505152,118784
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.655%,83582976,77824
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.655%,83546112,-36864
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.655%,83681280,135168
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.655%,83595264,-86016
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.655%,83591168,-4096
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.655%,83734528,143360
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.655%,83632128,-102400
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.655%,83648512,16384
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.656%,83812352,163840
