Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,24948,24948,Passed,,0.66%,84652032,-4096
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-81,-81,Passed,,0.66%,84578304,-73728
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.66%,84807680,229376
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.66%,84832256,24576
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.66%,84799488,-32768
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.66%,84819968,20480
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.66%,84856832,36864
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.66%,84803584,-53248
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.66%,84754432,-49152
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.66%,84897792,143360
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.661%,84832256,-65536
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.661%,84852736,20480
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,0.661%,84774912,-77824
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,0.661%,84914176,139264
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,0.661%,84733952,-180224
16,ModuleMobile,Mobile data received today (SIM1),185,6598034,211092882,Failed,,0.661%,84885504,151552
17,ModuleMobile,Mobile data sent today (SIM1),187,3585674,14300810,Failed,,0.661%,84811776,-73728
18,ModuleMobile,Mobile data received this week (SIM1),189,6598034,211092882,Failed,,0.661%,84725760,-86016
19,ModuleMobile,Mobile data sent this week (SIM1),191,3585674,14300810,Failed,,0.661%,84897792,172032
20,ModuleMobile,Mobile data received this month (SIM1),193,844419281,1688817873,Failed,,0.661%,84811776,-86016
21,ModuleMobile,Mobile data sent this month (SIM1),195,130020681,130020681,Passed,,0.661%,84897792,86016
