Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,1219,1219,Passed,,2.546%,77250560,126976
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-81,-81,Passed,,2.547%,77078528,-172032
3,ModuleSystem,System temperature (in 0.1 °C),5,300,300,Passed,,2.549%,77070336,-8192
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,2.549%,77058048,-12288
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,2.55%,77062144,4096
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,2.554%,77168640,106496
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,2.554%,77123584,-45056
1,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,2.555%,77123584,0
2,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,2.559%,77357056,233472
3,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,2.56%,77234176,-122880
4,ModuleMobile,GSM operator name,23,bite,bite,Passed,,2.561%,77266944,32768
5,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,2.562%,77312000,45056
6,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,2.563%,77295616,-16384
7,ModuleMobile,Network type,119,lte,lte-a,Failed,,2.565%,77500416,204800
8,ModuleMobile,Mobile data received today (SIM1),185,2144355,2144355,Passed,,2.566%,77471744,-28672
9,ModuleMobile,Mobile data sent today (SIM1),187,317417,317417,Passed,,2.566%,77357056,-114688
3,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,2.568%,77393920,36864
