Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,3952,3952,Passed,,1.278%,78614528,-122880
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-81,-81,Passed,,1.278%,78663680,49152
3,ModuleSystem,System temperature (in 0.1 °C),5,360,360,Passed,,1.279%,78487552,-176128
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,1.279%,78594048,106496
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,1.28%,78561280,-32768
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,1.28%,78581760,20480
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,1.28%,78585856,4096
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,1.281%,78671872,86016
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,1.281%,78532608,-139264
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,1.283%,78757888,225280
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,1.284%,78831616,73728
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,1.284%,78888960,57344
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,1.285%,78815232,-73728
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,1.285%,78815232,0
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,1.286%,78811136,-4096
16,ModuleMobile,Mobile data received today (SIM1),185,8496298,8496298,Passed,,1.286%,78753792,-57344
17,ModuleMobile,Mobile data sent today (SIM1),187,671184,2637264,Failed,,1.287%,78848000,94208
18,ModuleMobile,Mobile data received this week (SIM1),189,238919616,238919616,Passed,,1.289%,79077376,229376
19,ModuleMobile,Mobile data sent this week (SIM1),191,6579092,26289044,Failed,,1.29%,79011840,-65536
20,ModuleMobile,Mobile data received this month (SIM1),193,1716644607,1716644607,Passed,,1.29%,79204352,192512
21,ModuleMobile,Mobile data sent this month (SIM1),195,142008915,142008915,Passed,,1.291%,79077376,-126976
22,ModuleMobile,Mobile data received last 24h (SIM1),197,111371617,222717281,Failed,,1.291%,78950400,-126976
23,ModuleMobile,Mobile data sent last 24h (SIM1),199,22463038,22463038,Passed,,1.291%,79040512,90112
24,ModuleMobile,Active SIM card,205,1,1,Passed,,1.291%,79089664,49152
25,ModuleMobile,Mobile data received last week (SIM1),292,1716644607,1716644607,Passed,,1.292%,79077376,-12288
26,ModuleMobile,Mobile data sent last week (SIM1),294,142008915,142008915,Passed,,1.292%,79216640,139264
27,ModuleMobile,Mobile data received last month (SIM1),296,1760351797,1760351797,Passed,,1.292%,79216640,0
28,ModuleMobile,Mobile data sent last month (SIM1),298,78968886,157906998,Failed,,1.293%,79167488,-49152
29,ModuleMobile,Mobile data received today (SIM2),300,0,0,Passed,,1.293%,79220736,53248
30,ModuleMobile,Mobile data sent today (SIM2),302,0,0,Passed,,1.293%,79220736,0
31,ModuleMobile,Mobile data received this week (SIM2),304,0,0,Passed,,1.296%,79228928,8192
32,ModuleMobile,Mobile data sent this week (SIM2),306,0,0,Passed,,1.298%,79204352,-24576
33,ModuleMobile,Mobile data received this month (SIM2),308,0,0,Passed,,1.299%,79085568,-118784
34,ModuleMobile,Mobile data sent this month (SIM2),310,0,0,Passed,,1.299%,78921728,-163840
35,ModuleMobile,Mobile data received last 24h (SIM2),312,0,0,Passed,,1.3%,78946304,24576
36,ModuleMobile,Mobile data sent last 24h (SIM2),314,0,0,Passed,,1.301%,79052800,106496
37,ModuleMobile,Mobile data received last week (SIM2),316,0,0,Passed,,1.301%,79220736,167936
38,ModuleMobile,Mobile data sent last week (SIM2),318,0,0,Passed,,1.302%,79122432,-98304
39,ModuleMobile,Mobile data received last month(SIM2),320,0,0,Passed,,1.302%,79208448,86016
40,ModuleMobile,Mobile data sent last month (SIM2),322,0,0,Passed,,1.302%,79138816,-69632
41,ModuleGPS,GPS latitude coordinate,143,0,0,Passed,,1.303%,79151104,12288
42,ModuleGPS,GPS longitude coordinate,145,0,0,Passed,,1.303%,79122432,-28672
43,ModuleGPS,GPS fix time,147,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,1.304%,79245312,122880
44,ModuleGPS,GPS date and time,163,1970-01-01 00:00:00,1970-01-01 00:00:00,Passed,,1.304%,79261696,16384
45,ModuleGPS,GPS speed,179,0,0,Passed,,1.304%,79261696,0
